DATE,WATER LEVEL (m),ACTUAL RAINFALL (mm),FLOOD DANGER LEVEL
01-01-2021,233.32,1.16,0
02-01-2021,233.32,0.11,0
03-01-2021,233.13,0.03,0
04-01-2021,233.13,6.08,0
05-01-2021,233.13,2.52,0
06-01-2021,233.32,2.25,0
07-01-2021,233.13,3.87,0
08-01-2021,233.13,2.19,0
09-01-2021,NA,1.38,0
10-01-2021,NA,0.05,0
11-01-2021,233.13,0.94,0
12-01-2021,233.32,0.43,0
13-01-2021,233.13,1.9,0
14-01-2021,233.32,1.79,0
15-01-2021,233.32,0.33,0
16-01-2021,233.32,0.13,0
17-01-2021,233.13,0.06,0
18-01-2021,233.13,1.3,0
19-01-2021,233.13,0.87,0
20-01-2021,233.32,1.18,0
21-01-2021,233.13,0.79,0
22-01-2021,233.32,0.14,0
23-01-2021,233.32,0.09,0
24-01-2021,233.3,2.07,0
25-01-2021,233.31,0,0
26-01-2021,NA,0,0
27-01-2021,233.31,0.01,0
28-01-2021,233.31,0.21,0
29-01-2021,NA,0.17,0
30-01-2021,233.32,0.3,0
31-01-2021,NA,0.06,0
01-02-2021,233.32,0.01,0
02-02-2021,233.32,0,0
03-02-2021,233.33,0,0
04-02-2021,233.32,1.35,0
05-02-2021,233.32,1.81,0
06-02-2021,233.32,2.03,0
07-02-2021,233.36,9.44,0
08-02-2021,233.33,2.42,0
09-02-2021,233.33,1.05,0
10-02-2021,233.33,0.39,0
11-02-2021,233.33,0.85,0
12-02-2021,233.33,0.74,0
13-02-2021,NA,4.21,0
14-02-2021,NA,4.59,0
15-02-2021,233.32,0.57,0
16-02-2021,NA,0.38,0
17-02-2021,233.33,1.53,0
18-02-2021,233.33,1.29,0
19-02-2021,233.33,1.38,0
20-02-2021,NA,2.29,0
21-02-2021,NA,6.32,0
22-02-2021,233.33,0.95,0
23-02-2021,233.33,1.12,0
24-02-2021,233.33,0.02,0
25-02-2021,NA,1.14,0
26-02-2021,233.33,2.46,0
27-02-2021,233.32,2.86,0
28-02-2021,NA,2.03,0
01-03-2021,233.32,4.13,0
02-03-2021,NA,6.26,0
03-03-2021,NA,0.43,0
04-03-2021,233.31,0.14,0
05-03-2021,NA,4.49,0
06-03-2021,233.27,0.98,0
07-03-2021,NA,27.62,1
08-03-2021,233.27,10.11,1
09-03-2021,233.26,0.48,0
10-03-2021,233.25,1.09,0
11-03-2021,NA,0.75,0
12-03-2021,233.24,2.24,0
13-03-2021,NA,13.47,1
14-03-2021,NA,3.16,0
15-03-2021,233.23,0.65,0
16-03-2021,NA,2.03,0
17-03-2021,NA,0.11,0
18-03-2021,233.13,0.53,0
19-03-2021,233.22,1.52,0
20-03-2021,233.21,1.3,0
21-03-2021,NA,4.54,0
22-03-2021,233.2,2.68,0
23-03-2021,233.19,14.18,1
24-03-2021,233.19,0.48,0
25-03-2021,233.18,4.53,0
26-03-2021,233.18,1.86,0
27-03-2021,NA,0.11,0
28-03-2021,NA,1.44,0
29-03-2021,233.13,0.6,0
30-03-2021,NA,2.31,0
31-03-2021,NA,1.58,0
01-04-2021,233.17,0.83,0
02-04-2021,NA,0.46,0
03-04-2021,233.16,0.24,0
04-04-2021,NA,2.73,0
05-04-2021,233.15,2.54,0
06-04-2021,NA,6.15,0
07-04-2021,233.13,6.42,0
08-04-2021,233.13,10.45,1
09-04-2021,233.13,1.94,0
10-04-2021,NA,13.02,1
11-04-2021,NA,7.02,0
12-04-2021,NA,6.28,0
13-04-2021,NA,9.89,0
14-04-2021,NA,4.4,0
15-04-2021,233.12,6.63,0
16-04-2021,233.12,1.11,0
17-04-2021,233.12,1.92,0
18-04-2021,NA,0.6,0
19-04-2021,233.12,4.86,0
20-04-2021,233.12,7.12,0
21-04-2021,233.12,11.49,1
22-04-2021,233.12,32.25,2
23-04-2021,233.11,8.48,0
24-04-2021,NA,1.34,0
25-04-2021,NA,2.55,0
26-04-2021,233.1,0.73,0
27-04-2021,233.1,1.04,0
28-04-2021,233.1,1.67,0
29-04-2021,233.1,3.78,0
30-04-2021,233.09,2.86,0
01-05-2021,233.09,4.47,0
02-05-2021,233.09,9.79,0
03-05-2021,233.09,11.46,1
04-05-2021,233.09,8.63,0
05-05-2021,233.09,25.94,1
06-05-2021,233.09,10.54,1
07-05-2021,233.08,8.51,0
08-05-2021,233.11,14.46,1
09-05-2021,233.14,23.36,1
10-05-2021,233.15,10.61,1
11-05-2021,233.16,14,1
12-05-2021,233.19,11.51,1
13-05-2021,233.21,10.29,1
14-05-2021,NA,13.45,1
15-05-2021,233.21,9.92,0
16-05-2021,233.19,14.48,1
17-05-2021,233.18,13.61,1
18-05-2021,233.18,18.44,1
19-05-2021,233.18,29.39,2
20-05-2021,233.17,33.63,2
21-05-2021,233.29,27.12,1
22-05-2021,NA,36.5,2
23-05-2021,NA,25.94,1
24-05-2021,233.32,12.27,1
25-05-2021,233.3,11.39,1
26-05-2021,233.31,54.07,3
27-05-2021,233.53,26.68,1
28-05-2021,234,18.42,1
29-05-2021,233.59,13.87,1
30-05-2021,NA,25.36,1
31-05-2021,233.97,9.26,0
01-06-2021,233.63,7.91,0
02-06-2021,233.44,10.15,1
03-06-2021,233.59,10.61,1
04-06-2021,233.68,13.92,1
05-06-2021,233.84,27.2,1
06-06-2021,233.61,8.96,0
07-06-2021,233.66,4.93,0
08-06-2021,233.56,6.84,0
09-06-2021,233.26,11.5,1
10-06-2021,233.67,12.51,1
11-06-2021,233.71,9.68,0
12-06-2021,233.84,12.73,1
13-06-2021,233.88,15.17,1
14-06-2021,233.8,11.96,1
15-06-2021,233.97,15.65,1
16-06-2021,234.17,23.54,1
17-06-2021,234.06,15.63,1
18-06-2021,234.05,15.42,1
19-06-2021,234.23,17.68,1
20-06-2021,233.96,16.25,1
21-06-2021,233.75,8.12,0
22-06-2021,234.41,4.94,0
23-06-2021,234.43,9.47,0
24-06-2021,234.36,10.52,1
25-06-2021,234.34,7.08,0
26-06-2021,234.19,6.04,0
27-06-2021,234.26,9.88,0
28-06-2021,234.13,6.77,0
29-06-2021,234.24,5,0
30-06-2021,234.08,6.26,0
01-07-2021,233.65,9.28,0
